eliminados,order_lcc,length_lcc,num_cc,a2tr_list
0,338,93642.9858112177,1,1.0
1,337,93633.86166742224,2,0.9940828402366864
2,337,93340.47923781884,2,0.9940828402366864
3,334,92765.88923929667,3,0.976489385984935
4,333,92676.4185737129,4,0.9706424595719277
5,328,90759.74375459555,5,0.9418467859463066
6,327,90754.04287747006,6,0.936105209558759
7,324,90162.1184749738,7,0.9190385054343054
8,323,89711.31641197941,8,0.9133671623970643
9,305,85849.53853100774,9,0.8169718891015398
10,305,85775.0653814839,9,0.8169718891015398
11,305,85462.84350524843,9,0.8169718891015398
12,304,85457.01255335359,10,0.811634154478254
13,303,85430.44189284241,11,0.8063139781925447
14,302,84777.710516241,12,0.8010113602444121
15,299,84239.76849946575,13,0.7852615314382034
16,298,84235.1587272371,14,0.7800291468403772
17,280,78685.2342512626,15,0.6915351254543219
18,233,65104.00541866051,16,0.4992537706529946
19,219,62035.07990505292,17,0.4454199076431443
20,217,61855.855266909115,18,0.4377995891349007
21,215,61816.95918974363,19,0.4302495039769635
22,214,61679.95554015721,20,0.42649201973557144
23,214,61679.95554015721,21,0.4250873527294436
24,213,61563.2229397407,22,0.42134742682562815
25,209,60264.41211714902,23,0.406668656611592
26,208,60208.018411826524,24,0.4030165223956596
27,207,59977.98689224714,25,0.39938194651730374
28,207,59977.98689224714,26,0.39857426298878024
29,207,59977.98689224714,27,0.3979948378487525
30,207,59977.98689224714,28,0.3978192544729865
31,207,59977.98689224714,29,0.3977841377978333
32,207,59977.98689224714,30,0.39762611275964393
33,206,58822.278235188605,31,0.3940090952188647
34,205,58653.36997606549,32,0.39040963601566203
35,205,58653.36997606549,33,0.38961951082471513
36,204,58489.62856407696,34,0.3860376099590891
37,203,58243.87970853537,35,0.38247326743103965
38,203,58243.87970853537,36,0.38240303408073323
39,193,55734.993455213684,37,0.3485154425578986
40,187,55154.725207097756,38,0.3288149877969554
41,178,51637.2977303509,39,0.30068653099924497
42,177,51237.2899179272,40,0.2975787052481871
43,177,51237.2899179272,41,0.2968061383948168
44,177,51237.2899179272,42,0.2966832300317806
45,177,50476.99244325034,42,0.2966832300317806
46,165,46426.37594121156,43,0.26191772163011606
47,165,46426.37594121156,44,0.2611627131143223
48,165,46426.37594121156,45,0.2608642213755202
49,165,46035.249363234565,45,0.2608642213755202
50,151,42147.61873633267,46,0.22374589573859147
51,146,41108.20428519739,47,0.21092830930767476
52,145,40576.94116771228,48,0.208382350359068
53,144,40366.299291533775,49,0.20585394974803786
54,143,39991.137659700245,50,0.2033431074745843
55,143,39991.137659700245,51,0.20311484908608854
56,141,39858.951497781454,52,0.19816339788948784
57,137,39029.71075732457,53,0.188541428897512
58,136,39008.99240796947,54,0.18615349498709463
59,136,39008.99240796947,55,0.18596035327375204
60,136,39008.99240796947,56,0.17819956806489562
61,136,39008.99240796947,57,0.17704071778484012
62,136,39008.99240796947,58,0.17700560110968694
63,136,39008.99240796947,59,0.17683001773392096
64,136,39008.99240796947,60,0.17667199269573156
65,136,39008.99240796947,61,0.1761452425684336
66,136,39008.99240796947,62,0.17579407581690165
67,136,39008.99240796947,63,0.1754429090653697
68,136,39008.99240796947,64,0.17528488402718032
69,136,39008.99240796947,65,0.17507418397626112
70,135,38982.99240796947,66,0.17270380840342037
71,101,27026.534092697028,67,0.11240847716538198
72,99,26480.99518317118,68,0.10893192632521553
73,99,26480.99518317118,69,0.1081944761469984
74,55,13869.71540013764,70,0.06570329921163064
75,52,12675.427073848929,71,0.06296419854968131
76,44,12606.562792467512,72,0.051164995698207295
77,44,12606.562792467512,73,0.04949695362843046
78,44,12606.562792467512,74,0.049005320176285706
79,44,12606.562792467512,75,0.048952645163555915
80,44,12606.562792467512,76,0.048636595087177145
81,44,12606.562792467512,77,0.048425895036257965
82,44,12606.562792467512,78,0.047846469896230225
83,44,12606.562792467512,79,0.047776236545923834
84,33,11565.911443133093,80,0.04013835970010359
85,29,8313.53009553605,81,0.03729390901269468
86,29,8313.53009553605,82,0.03713588397450529
87,29,8313.53009553605,83,0.03666180885993714
88,29,8313.53009553605,84,0.036099942057486
89,29,8313.53009553605,84,0.036099942057486
90,29,8313.53009553605,85,0.03585412533141362
91,29,8313.53009553605,86,0.033009674644004706
92,29,8313.53009553605,87,0.031745474338489635
93,29,8313.53009553605,88,0.031710357663336436
94,29,8313.53009553605,89,0.030920232472389515
95,28,7465.512259638716,90,0.030428599020244765
96,28,7465.512259638716,91,0.029989640580829806
97,28,7465.512259638716,92,0.029199515389882885
98,28,7465.512259638716,93,0.02835671518620617
99,28,7465.512259638716,94,0.027794848383755025
100,28,7465.512259638716,95,0.027707056695872034
101,28,7465.512259638716,96,0.02746123996979966
102,28,7465.512259638716,97,0.027232981581303883
103,28,7465.512259638716,98,0.02684669815461872
104,28,7465.512259638716,99,0.026618439766122944
105,27,7387.077573434205,100,0.02614436465155479
106,27,7387.077573434205,101,0.026074131301248398
107,27,7387.077573434205,102,0.025933664600635613
108,27,7387.077573434205,103,0.025617614524256843
109,27,7387.077573434205,104,0.025494706161220657
110,27,7387.077573434205,105,0.025336681123031272
111,27,7387.077573434205,106,0.025284006110301478
112,27,7387.077573434205,107,0.024967956033922708
113,27,7387.077573434205,108,0.024687022632697137
114,26,7180.400893569253,109,0.024230505855705582
115,26,7180.400893569253,110,0.024072480817516197
116,26,7180.400893569253,111,0.023932014116903412
117,26,7180.400893569253,112,0.023510614015065052
118,26,7180.400893569253,113,0.020999771741611505
119,26,7180.400893569253,114,0.020367671588853966
120,26,7180.400893569253,115,0.02015697153793479
121,26,7180.400893569253,116,0.019682896423366635
122,26,7180.400893569253,117,0.019279054659104875
123,26,7180.400893569253,118,0.019191262971221885
124,26,7180.400893569253,119,0.01912102962091549
125,26,7180.400893569253,120,0.018594279493617544
