eliminados,order_lcc,length_lcc,num_cc,a2tr_list
0,48,10817.34158186519,1,1.0
1,37,7601.076561409071,2,0.6391843971631206
2,32,7049.086663524333,3,0.4973404255319149
3,32,7049.086663524333,4,0.48847517730496454
4,31,7034.873993120781,5,0.46099290780141844
5,30,7000.432012922192,6,0.43439716312056736
6,29,6993.432012922192,7,0.40868794326241137
7,16,3115.5102355500876,8,0.22429078014184398
8,15,2945.2383940729956,9,0.21099290780141844
9,15,2945.2383940729956,10,0.20567375886524822
10,15,2945.2383940729956,11,0.17907801418439717
11,15,2945.2383940729956,12,0.17109929078014185
12,14,2885.9404177162933,13,0.15868794326241134
13,14,2885.9404177162933,14,0.15159574468085107
14,14,2885.9404177162933,15,0.149822695035461
15,14,2885.9404177162933,16,0.14804964539007093
16,14,2885.9404177162933,17,0.14716312056737588
17,13,2049.7309642897008,18,0.1356382978723404
18,11,1876.223259013575,19,0.11613475177304965
19,11,1876.223259013575,20,0.10195035460992907
20,10,3079.017676358554,21,0.07712765957446809
21,10,3079.017676358554,22,0.06648936170212766
22,10,3079.017676358554,23,0.06382978723404255
23,10,3079.017676358554,24,0.06205673758865248
24,10,3079.017676358554,25,0.06028368794326241
25,8,2790.9511707126844,26,0.04609929078014184
26,8,2790.9511707126844,27,0.0425531914893617
27,8,2790.9511707126844,28,0.0398936170212766
28,8,2790.9511707126844,29,0.03900709219858156
29,7,2687.185810403957,30,0.03280141843971631
30,7,2687.185810403957,31,0.031914893617021274
31,7,2687.185810403957,32,0.03102836879432624
32,4,987.1154300459289,33,0.020390070921985817
33,4,987.1154300459289,34,0.018617021276595744
34,4,987.1154300459289,35,0.016843971631205674
35,4,1385.2953496141604,36,0.013297872340425532
36,3,974.794131589171,37,0.010638297872340425
37,3,974.794131589171,38,0.00975177304964539
38,3,974.794131589171,39,0.008865248226950355
39,3,974.794131589171,40,0.007978723404255319
40,3,974.794131589171,41,0.0070921985815602835
41,3,974.794131589171,42,0.0062056737588652485
42,3,974.794131589171,43,0.005319148936170213
43,3,974.794131589171,44,0.004432624113475178
44,2,151.85272470390512,45,0.0026595744680851063
45,2,151.85272470390512,46,0.0017730496453900709
46,2,370.0408761204632,47,0.0008865248226950354
