eliminados,order_lcc,length_lcc,num_cc,a2tr_list
0,790,192620.15429188398,1,1.0
1,789,192592.0073559939,2,0.9974683544303797
2,788,192578.88295124547,3,0.9949399175370202
3,787,192548.35427620052,4,0.992414689319921
4,786,192176.15741968504,5,0.9898926697790826
5,786,191854.93125325395,5,0.9898926697790826
6,785,191789.75073469203,6,0.9873738589145048
7,784,191677.2851844111,7,0.9848582567261877
8,783,191523.92205324845,8,0.982345863214131
9,774,188054.67487763005,9,0.9599942243827309
10,774,187734.7803637665,9,0.9599942243827309
11,769,187010.91957290415,10,0.9476568641606905
12,768,186966.75793797066,11,0.9451926007925431
13,767,186913.79332714417,12,0.9427315461006561
14,764,185741.335534265,13,0.935377260111341
15,764,185692.46580948573,13,0.935377260111341
16,763,185501.65634955253,14,0.9329290401244966
17,763,185250.65784358088,14,0.9329290401244966
18,762,185059.73312019493,15,0.9304840288139128
19,762,185014.88615820193,15,0.9304840288139128
20,759,184407.11780455962,16,0.9231778729685068
21,758,184324.72545054543,17,0.9207456963629654
22,757,184310.6453227051,18,0.9183167284336847
23,757,184166.79383678993,18,0.9183167284336847
24,756,184156.3895107666,19,0.9158909691806645
25,756,184108.8237667905,19,0.9158909691806645
26,756,184078.59133387485,19,0.9158909691806645
27,756,184078.59133387485,20,0.9158845518281433
28,756,183894.14283157678,20,0.9158845518281433
29,756,183837.82232021546,20,0.9158845518281433
30,755,183832.29963970688,21,0.9134620012513838
31,755,183823.74101832256,21,0.9134620012513838
32,755,183770.84016766777,21,0.9134620012513838
33,755,183659.41642693,21,0.9134620012513838
34,754,183637.48471473053,22,0.9110426593508848
35,754,183572.54628235032,22,0.9110426593508848
36,753,183549.303003752,23,0.9086265261266464
37,737,178688.59493234634,24,0.8707898156615488
38,737,178676.22561546948,24,0.8707898156615488
39,728,176329.9788206546,25,0.8497665688020407
40,724,175397.22848061955,26,0.840474242351318
41,723,175356.8738030716,27,0.8381543694148978
42,723,175356.8738030716,28,0.8381094479472494
43,723,175196.76134259457,28,0.8381094479472494
44,723,174900.74782938953,28,0.8381094479472494
45,723,174868.93195284964,28,0.8381094479472494
46,723,174822.41313945118,28,0.8381094479472494
47,723,174542.80448436335,28,0.8381094479472494
48,717,172381.89694658545,29,0.8243057226741108
49,717,172212.2318352632,29,0.8243057226741108
50,716,171579.2174199455,30,0.822008310471515
51,716,171579.2174199455,31,0.8218831720973513
52,715,171282.27887411485,32,0.819588968571016
53,715,171201.7105801029,32,0.819588968571016
54,712,170161.20483245503,33,0.8127352360783558
55,711,169929.20429366254,34,0.8104538672570631
56,710,169885.35797112575,35,0.8081757071120309
57,710,169814.99285192596,35,0.8081757071120309
58,709,169769.75735701324,36,0.8059007556432594
59,708,169754.22513244624,37,0.8036290128507484
60,708,169647.22396422832,37,0.8036290128507484
61,707,169589.64575654521,38,0.8013604787344981
62,706,169577.55236992275,39,0.7990951532945083
63,703,168433.73973099564,40,0.7923280550608847
64,703,168293.69955818797,40,0.7923280550608847
65,702,168013.92956337082,41,0.7900755643259373
66,699,167451.45949338077,42,0.7833469702074409
67,699,166330.6453919348,42,0.7833469702074409
68,699,166056.57560155288,42,0.7833469702074409
69,698,165604.8552787867,43,0.7811073141775361
70,697,165551.41138297063,44,0.7788708668238918
71,697,165441.83834796658,44,0.7788708668238918
72,696,165419.28840339903,45,0.7766376281465082
73,696,165419.28840339903,46,0.7766183760889445
74,686,164039.25047044514,47,0.7546068569411689
75,685,164026.75047044514,48,0.752408913702652
76,685,163951.17104202707,48,0.752408913702652
77,684,163756.94115246317,49,0.7502141791403957
78,683,163749.92331803936,50,0.7480226532543999
79,683,163749.92331803936,51,0.7480066098730969
80,683,163049.69888973082,51,0.7480066098730969
81,682,163035.5567541071,52,0.7458182926633617
82,681,162450.03540522218,53,0.7436331841298872
83,681,162052.18493079743,53,0.7436331841298872
84,681,161915.24516301614,53,0.7436331841298872
85,675,161190.99856037393,54,0.730638045274422
86,674,160742.61256594502,55,0.7284753974747717
87,674,160629.43019099202,55,0.7284753974747717
88,667,159277.4068195148,56,0.7134940880139898
89,667,159236.21822886157,56,0.7134940880139898
90,667,159054.50072832848,56,0.7134940880139898
91,650,156405.10081342672,57,0.6780382153342639
92,634,152274.74474175973,58,0.6454894033466494
93,634,152226.96137645337,58,0.6454894033466494
94,631,151915.62462676916,59,0.6394153791853171
95,629,151870.28146749298,60,0.6353788644494713
96,629,151747.96527886696,60,0.6353788644494713
97,629,151611.22464847495,60,0.6353788644494713
98,628,151548.12750115432,61,0.6333638157578091
99,627,151329.71848119408,62,0.6313519757424074
100,619,149995.80340223026,63,0.6154626108998733
101,618,149236.1079040206,64,0.6134796489708171
102,610,146674.3834177899,65,0.5978213088190467
103,609,146494.89386377632,66,0.595867224976336
104,609,146450.89102295894,66,0.595867224976336
105,609,146450.89102295894,67,0.5956747044006995
106,459,103599.27735974251,68,0.37475734385779147
107,456,103188.67299401588,69,0.3703678747332788
108,453,102027.76321504774,70,0.3660072836951116
109,441,98247.04932670982,71,0.3490269689239704
110,435,96833.27342376226,72,0.34065232388378175
111,435,96833.27342376226,73,0.34055606359596347
112,433,96625.79070044828,74,0.3377773499542764
113,433,96625.79070044828,75,0.33776451524923395
114,433,96625.79070044828,76,0.33773563716288846
115,432,96590.96972975532,77,0.3363494890183055
116,423,94683.19561614003,78,0.3241340584941682
117,422,94677.19561614003,79,0.32277999711219135
