eliminados,order_lcc,length_lcc,num_cc,a2tr_list
0,128,36915.64243855456,1,1.0
1,127,35504.93446026849,2,0.984375
2,126,35295.06009308659,3,0.968873031496063
3,125,35262.13214143454,4,0.953494094488189
4,124,34407.389343863244,5,0.938238188976378
5,123,34337.045545273744,6,0.92310531496063
6,122,34315.950522164014,7,0.9080954724409449
7,121,34227.31080194785,8,0.8932086614173228
8,116,33549.967026323946,9,0.8218503937007874
9,114,31819.452733130893,10,0.7937992125984252
10,105,29597.2355025496,11,0.6775344488188977
11,92,28098.222948190316,12,0.530388779527559
12,91,28027.51757357141,13,0.5191929133858267
13,90,27628.1825012324,14,0.5081200787401575
14,90,27628.1825012324,15,0.5066437007874016
15,89,27626.12094841959,16,0.49569389763779526
16,86,27246.99757258939,17,0.4639517716535433
17,83,26246.692883599782,18,0.4333169291338583
18,80,24438.838281195596,19,0.40378937007874016
19,75,24052.21091470987,20,0.3576525590551181
20,74,23837.109775707773,21,0.3485482283464567
21,73,23651.47976735783,22,0.3395669291338583
22,73,23651.47976735783,23,0.3393208661417323
23,73,23651.47976735783,24,0.33796751968503935
24,67,21098.513792369005,25,0.28850885826771655
25,65,20872.8209413646,26,0.27251476377952755
26,55,15756.752893536333,27,0.2048474409448819
27,54,15401.956473035787,28,0.19820374015748032
28,53,14799.001043505545,29,0.19168307086614172
29,52,14765.695638538782,30,0.18528543307086615
30,52,14765.695638538782,31,0.18516240157480315
31,52,14765.695638538782,32,0.1846702755905512
32,52,14765.695638538782,33,0.1829478346456693
33,52,14765.695638538782,34,0.18270177165354332
34,52,14765.695638538782,35,0.18220964566929135
35,48,13272.105013318826,36,0.15858759842519685
36,34,8817.127096624807,37,0.1000246062992126
37,34,8817.127096624807,38,0.09707185039370078
38,33,8722.509444994681,39,0.09301181102362205
39,27,7218.865650013626,40,0.07308070866141732
40,27,7218.865650013626,41,0.07258858267716535
41,27,7218.865650013626,42,0.06668307086614174
42,24,5550.905287259378,43,0.0578248031496063
43,24,5550.905287259378,44,0.056840551181102365
44,24,5550.905287259378,45,0.05647145669291338
45,24,5550.905287259378,46,0.05585629921259842
46,24,5550.905287259378,47,0.05573326771653543
47,22,5322.881060028819,48,0.05031988188976378
48,22,5322.881060028819,49,0.049950787401574805
49,22,5322.881060028819,50,0.04945866141732284
50,17,4942.448594213155,51,0.039000984251968504
51,17,4942.448594213155,52,0.035556102362204724
52,17,4942.448594213155,53,0.034940944881889764
53,17,4942.448594213155,54,0.0344488188976378
54,17,4942.448594213155,55,0.03420275590551181
55,17,4942.448594213155,56,0.03358759842519685
56,12,2590.5336598525455,57,0.02620570866141732
57,12,2590.5336598525455,58,0.02546751968503937
58,12,2590.5336598525455,59,0.025098425196850394
59,8,1861.6023489404888,60,0.021161417322834646
60,8,2084.60484555046,61,0.0203001968503937
61,8,2084.60484555046,62,0.019562007874015748
62,8,2084.60484555046,63,0.019315944881889764
63,7,1029.2981677663224,64,0.018454724409448817
64,7,1029.2981677663224,65,0.0172244094488189
65,7,1029.2981677663224,66,0.016486220472440943
66,7,1029.2981677663224,67,0.01624015748031496
67,7,1029.2981677663224,68,0.016117125984251968
68,7,1029.2981677663224,69,0.015871062992125984
69,6,542.2488889453801,70,0.01513287401574803
70,6,542.2488889453801,71,0.014886811023622047
71,6,542.2488889453801,72,0.014763779527559055
72,6,542.2488889453801,73,0.014640748031496063
73,6,542.2488889453801,74,0.014148622047244094
74,6,542.2488889453801,75,0.014025590551181102
75,6,542.2488889453801,76,0.013656496062992126
76,6,542.2488889453801,77,0.01328740157480315
77,6,542.2488889453801,78,0.012918307086614173
78,6,995.8233598993581,79,0.011934055118110236
79,6,995.8233598993581,80,0.011811023622047244
80,6,1109.1148258454791,81,0.011195866141732283
81,6,1109.1148258454791,82,0.010457677165354331
82,6,1109.1148258454791,83,0.010088582677165354
83,6,1109.1148258454791,84,0.009596456692913386
84,6,1109.1148258454791,85,0.009227362204724409
85,6,1109.1148258454791,86,0.008981299212598425
86,6,1109.1148258454791,87,0.008489173228346457
87,6,1109.1148258454791,88,0.008366141732283465
88,6,1109.1148258454791,89,0.007997047244094488
89,6,1109.1148258454791,90,0.007750984251968504
90,5,2266.613996499413,91,0.006643700787401575
91,5,2266.613996499413,92,0.006520669291338582
92,5,2266.613996499413,93,0.0062746062992125986
93,5,2266.613996499413,94,0.006028543307086614
94,5,2266.613996499413,95,0.005659448818897638
95,5,2266.613996499413,96,0.005536417322834645
96,5,2266.613996499413,97,0.0054133858267716535
97,5,2266.613996499413,98,0.0052903543307086616
98,5,2266.613996499413,99,0.005044291338582677
99,5,2266.613996499413,100,0.004921259842519685
100,5,2266.613996499413,101,0.004798228346456693
101,5,2266.613996499413,102,0.004675196850393701
102,5,2266.613996499413,103,0.004552165354330708
103,5,2266.613996499413,104,0.004306102362204725
104,5,2266.613996499413,105,0.00406003937007874
105,5,2266.613996499413,106,0.003813976377952756
106,5,2266.613996499413,107,0.0036909448818897637
107,4,1805.5364542139532,108,0.0031988188976377952
108,3,927.851858245675,109,0.002829724409448819
109,3,927.851858245675,110,0.002583661417322835
110,3,927.851858245675,111,0.0023375984251968506
111,3,927.851858245675,112,0.0022145669291338582
112,3,927.851858245675,113,0.0020915354330708663
113,3,927.851858245675,114,0.0018454724409448819
114,3,927.851858245675,115,0.0017224409448818897
115,3,927.851858245675,116,0.0015994094488188976
116,3,927.851858245675,117,0.0014763779527559055
117,3,927.851858245675,118,0.0013533464566929134
118,2,268.06062747072724,119,0.0011072834645669291
119,2,268.06062747072724,120,0.000984251968503937
120,2,268.06062747072724,121,0.0008612204724409449
121,2,268.06062747072724,122,0.0007381889763779527
122,2,27.518175811634027,123,0.0006151574803149606
123,2,27.518175811634027,124,0.0004921259842519685
124,2,63.51377803280167,125,0.00036909448818897637
125,2,230.3394234602492,126,0.00024606299212598425
126,2,371.8753151259169,127,0.00012303149606299212
