eliminados,order_lcc,length_lcc,num_cc,a2tr_list
0,54,9933.51831222075,1,1.0
1,53,9930.01831222075,2,0.9629629629629629
2,52,9905.320134150295,3,0.9266247379454927
3,33,6375.543844528419,4,0.48846960167714887
4,25,5153.04160636967,5,0.34870719776380155
5,19,3246.02243502251,6,0.23969252271139063
6,19,3246.02243502251,7,0.2348008385744235
7,19,3246.02243502251,8,0.22711390635918938
8,19,3246.02243502251,9,0.22012578616352202
9,18,3177.52243502251,10,0.20754716981132076
10,18,3177.52243502251,11,0.19916142557651992
11,17,3052.6775312418595,12,0.1872816212438854
12,16,3050.677531241859,13,0.1761006289308176
13,16,3050.677531241859,14,0.16142557651991615
14,12,2933.234203623518,15,0.12299091544374563
15,11,1649.0749150657568,16,0.09853249475890985
16,11,1649.0749150657568,17,0.09014675052410902
17,11,1649.0749150657568,18,0.08176100628930817
18,11,1649.0749150657568,19,0.0803633822501747
19,11,1649.0749150657568,20,0.07966457023060797
20,10,1238.7664944843605,21,0.0726764500349406
21,10,1238.7664944843605,22,0.07127882599580712
22,9,1230.956244808454,23,0.0649895178197065
23,7,674.2531040602258,24,0.05101327742837177
24,7,674.2531040602258,25,0.04682040531097135
25,5,749.1424770489033,26,0.03843466107617051
26,5,749.1424770489033,27,0.0363382250174703
27,5,951.6216147491342,28,0.033542976939203356
28,5,951.6216147491342,29,0.03214535290006988
29,5,951.6216147491342,30,0.031446540880503145
30,5,951.6216147491342,31,0.029350104821802937
31,5,951.6216147491342,32,0.027253668763102725
32,5,951.6216147491342,33,0.025157232704402517
33,5,951.6216147491342,34,0.023759608665269043
34,5,951.6216147491342,35,0.02236198462613557
35,5,951.6216147491342,36,0.020964360587002098
36,5,951.6216147491342,37,0.02026554856743536
37,5,951.6216147491342,38,0.019566736547868623
38,4,743.6424770489033,39,0.016771488469601678
39,4,743.6424770489033,40,0.015373864430468204
40,4,743.6424770489033,41,0.013976240391334731
41,4,743.6424770489033,42,0.013277428371767994
42,4,876.0951293284554,43,0.011180992313067784
43,3,214.89939198773675,44,0.009084556254367574
44,3,214.89939198773675,45,0.007686932215234102
45,3,214.89939198773675,46,0.0069881201956673656
46,3,214.89939198773675,47,0.006289308176100629
47,3,1066.0453484842396,48,0.004891684136967156
48,2,115.2128465059344,49,0.0034940600978336828
49,2,115.2128465059344,50,0.002795248078266946
50,2,115.2128465059344,51,0.0020964360587002098
51,2,115.2128465059344,52,0.001397624039133473
52,2,115.2128465059344,53,0.0006988120195667365
