eliminados,order_lcc,length_lcc,num_cc,a2tr_list
0,24,4474.921399988127,1,1.0
1,23,4156.325652998308,2,0.9166666666666666
2,22,3647.440597214588,3,0.8369565217391305
3,21,3448.3646066984033,4,0.7608695652173914
4,16,2395.5499461797012,5,0.47101449275362317
5,16,2395.5499461797012,6,0.45652173913043476
6,12,1696.8337776296778,7,0.2826086956521739
7,8,1378.866508700767,8,0.16666666666666666
8,7,1340.8533530832706,9,0.14130434782608695
9,5,1227.2524590695232,10,0.10507246376811594
10,5,1227.2524590695232,11,0.10144927536231885
11,4,495.08660291673954,12,0.07971014492753623
12,4,495.08660291673954,13,0.06884057971014493
13,4,960.0097054560449,14,0.057971014492753624
14,4,960.0097054560449,15,0.050724637681159424
15,3,249.50208332429116,16,0.036231884057971016
16,3,1075.3526698910198,17,0.028985507246376812
17,2,64.5174395028197,18,0.021739130434782608
18,2,64.5174395028197,19,0.018115942028985508
19,2,64.5174395028197,20,0.014492753623188406
20,2,64.5174395028197,21,0.010869565217391304
21,2,64.5174395028197,22,0.007246376811594203
22,2,9.5,23,0.0036231884057971015
