eliminados,order_lcc,length_lcc,num_cc,a2tr_list
0,58,12274.619508271458,1,1.0
1,57,12270.49640264584,2,0.9655172413793104
2,56,12223.656248931318,3,0.9316394434361767
3,45,8751.131437843562,4,0.632183908045977
4,32,7612.738736127754,5,0.38052026618269813
5,21,5216.5670885472755,6,0.24077434966727163
6,21,5216.5670885472755,7,0.22625529340592862
7,21,5216.5670885472755,8,0.2250453720508167
8,21,5216.5670885472755,9,0.22444041137326073
9,20,5017.235706171093,10,0.21234119782214156
10,20,5017.235706171093,11,0.19540229885057472
11,20,5017.235706171093,12,0.1881427707199032
12,20,5017.235706171093,13,0.1808832425892317
13,19,4991.937484889746,14,0.1693889897156685
14,19,4991.937484889746,15,0.1675741076830006
15,19,4991.937484889746,16,0.16333938294010888
16,13,3438.3126254366025,17,0.1161524500907441
17,13,3438.3126254366025,18,0.11312764670296431
18,13,3438.3126254366025,19,0.10647307924984876
19,13,3438.3126254366025,20,0.102843315184513
20,13,3438.3126254366025,21,0.09679370840895342
21,13,3438.3126254366025,22,0.0955837870538415
22,13,3438.3126254366025,23,0.08287961282516637
23,11,2928.628873270976,24,0.06957047791893527
24,11,2928.628873270976,25,0.0677555958862674
25,11,2928.628873270976,26,0.06654567453115548
26,10,2918.7800154691795,27,0.060496067755595885
27,10,2918.7800154691795,28,0.05989110707803993
28,10,2918.7800154691795,29,0.05868118572292801
29,7,402.6793819900568,30,0.044162129461584994
30,7,402.6793819900568,31,0.04295220810647308
31,7,402.6793819900568,32,0.03750756200846945
32,7,402.6793819900568,33,0.03690260133091349
33,6,1116.807882842585,34,0.029643073200241985
34,6,1116.807882842585,35,0.028433151845130067
35,6,1116.807882842585,36,0.02601330913490623
36,6,1116.807882842585,37,0.024803387779794312
37,5,888.500662819459,38,0.021778584392014518
38,5,888.500662819459,39,0.019963702359346643
39,5,888.500662819459,40,0.019358741681790685
40,5,636.3039806732063,41,0.01693889897156685
41,4,629.0300479128764,42,0.013309134906231096
42,4,629.0300479128764,43,0.012704174228675136
43,3,979.4651736969217,44,0.0102843315184513
44,3,517.6701796971097,45,0.009074410163339383
45,3,517.6701796971097,46,0.008469449485783424
46,3,517.6701796971097,47,0.007864488808227465
47,3,517.6701796971097,48,0.007259528130671506
48,3,517.6701796971097,49,0.006654567453115548
49,3,85.34967361986051,50,0.0054446460980036296
50,2,54.120236510939236,51,0.004234724742891712
51,2,54.120236510939236,52,0.003629764065335753
52,2,54.120236510939236,53,0.0030248033877797943
53,2,664.0067770738489,54,0.0024198427102238356
54,2,664.0067770738489,55,0.0018148820326678765
55,2,664.0067770738489,56,0.0012099213551119178
56,2,22.02271554554524,57,0.0006049606775559589
