eliminados,order_lcc,length_lcc,num_cc,a2tr_list
0,100,28367.068329453145,1,1.0
1,99,28153.468235820208,2,0.98
2,98,27887.591854770668,3,0.9602020202020202
3,97,26815.031833140176,4,0.9406060606060606
4,94,26496.543853776817,5,0.8836363636363637
5,89,25563.733056130463,6,0.7937373737373737
6,89,25563.733056130463,7,0.7925252525252525
7,78,22694.439629345736,8,0.6191919191919192
8,77,22615.40482688505,9,0.6036363636363636
9,72,21321.759020774498,10,0.5309090909090909
10,72,21321.759020774498,11,0.5288888888888889
11,65,17475.48746873793,12,0.43696969696969695
12,64,17094.172310371523,13,0.42404040404040405
13,64,17094.172310371523,14,0.42323232323232324
14,52,12999.112532228473,15,0.2971717171717172
15,52,12999.112532228473,16,0.29494949494949496
16,52,12999.112532228473,17,0.2917171717171717
17,47,11841.548756883023,18,0.24424242424242423
18,47,11841.548756883023,19,0.24181818181818182
19,47,11841.548756883023,20,0.24141414141414141
20,45,11638.213503614612,21,0.22323232323232323
21,29,8484.8292451452,22,0.1294949494949495
22,29,8484.8292451452,23,0.12646464646464647
23,29,8484.8292451452,24,0.12343434343434344
24,29,8484.8292451452,25,0.12303030303030303
25,21,7061.509136207709,26,0.0890909090909091
26,21,7061.509136207709,27,0.08888888888888889
27,20,7004.867720264956,28,0.08484848484848485
28,20,7004.867720264956,29,0.08282828282828283
29,20,7004.867720264956,30,0.08202020202020202
30,19,6375.504550068288,31,0.07818181818181819
31,19,6375.504550068288,32,0.07292929292929293
32,19,6375.504550068288,33,0.0705050505050505
33,19,6375.504550068288,34,0.0696969696969697
34,19,6375.504550068288,35,0.06787878787878789
35,18,6298.09008113644,36,0.06424242424242424
36,17,6234.464221613758,37,0.06080808080808081
37,17,6234.464221613758,38,0.05919191919191919
38,13,4531.09050251715,39,0.04868686868686869
39,13,4531.09050251715,40,0.041616161616161614
40,13,4531.09050251715,41,0.041212121212121214
41,12,4459.877792977349,42,0.03878787878787879
42,12,4459.877792977349,43,0.037575757575757575
43,12,4459.877792977349,44,0.03696969696969697
44,12,4459.877792977349,45,0.03636363636363636
45,12,4459.877792977349,46,0.03393939393939394
46,12,4459.877792977349,47,0.03333333333333333
47,12,4459.877792977349,48,0.032929292929292926
48,12,4459.877792977349,49,0.03212121212121212
49,12,4459.877792977349,50,0.0301010101010101
50,12,4459.877792977349,51,0.0298989898989899
51,12,4459.877792977349,52,0.026868686868686868
52,9,4208.585345080679,53,0.021414141414141413
53,9,4208.585345080679,54,0.021212121212121213
54,8,3086.7880149002226,55,0.019595959595959597
55,8,3086.7880149002226,56,0.01898989898989899
56,8,3086.7880149002226,57,0.018787878787878787
57,8,3086.7880149002226,58,0.018383838383838384
58,8,3086.7880149002226,59,0.01797979797979798
59,8,3086.7880149002226,60,0.017575757575757574
60,8,3086.7880149002226,61,0.017373737373737375
61,8,3086.7880149002226,62,0.01717171717171717
62,8,3086.7880149002226,63,0.015555555555555555
63,8,3086.7880149002226,64,0.015353535353535354
64,8,3086.7880149002226,65,0.014545454545454545
65,8,3086.7880149002226,66,0.014343434343434344
66,8,3086.7880149002226,67,0.013737373737373737
67,8,3086.7880149002226,68,0.013535353535353536
68,8,3086.7880149002226,69,0.013131313131313131
69,8,3086.7880149002226,70,0.012727272727272728
70,7,2708.298583079465,71,0.011313131313131313
71,7,2708.298583079465,72,0.010707070707070707
72,7,2708.298583079465,73,0.010505050505050505
73,7,2708.298583079465,74,0.010303030303030303
74,7,2708.298583079465,75,0.010101010101010102
75,7,2708.298583079465,76,0.009898989898989899
76,7,2708.298583079465,77,0.009494949494949495
77,7,2708.298583079465,78,0.008282828282828282
78,7,2708.298583079465,79,0.00808080808080808
79,6,1755.4485161749178,80,0.006868686868686869
80,4,357.02124344748813,81,0.0052525252525252525
81,3,1221.3020252028996,82,0.004646464646464647
82,3,1221.3020252028996,83,0.0044444444444444444
83,3,1221.3020252028996,84,0.004242424242424243
84,3,1221.3020252028996,85,0.0038383838383838384
85,3,1221.3020252028996,86,0.0034343434343434343
86,3,168.41915249916082,87,0.0030303030303030303
87,3,168.41915249916082,88,0.0028282828282828283
88,3,168.41915249916082,89,0.0026262626262626263
89,3,168.41915249916082,90,0.0022222222222222222
90,3,168.41915249916082,91,0.00202020202020202
91,3,168.41915249916082,92,0.0018181818181818182
92,3,168.41915249916082,93,0.0016161616161616162
93,2,24.41823089414956,94,0.0012121212121212121
94,2,24.41823089414956,95,0.00101010101010101
95,2,24.41823089414956,96,0.0008080808080808081
96,2,24.41823089414956,97,0.0006060606060606061
97,2,24.41823089414956,98,0.00040404040404040404
98,2,24.41823089414956,99,0.00020202020202020202
