-514,-2764,-344,-2398.5
-131.5,1694,72,1066
-131.5,1694,349,2104
-131.5,1694,-213.5,1856
-190.5,-558.5,-167,-477
-190.5,-558.5,-261,-1015.5
-190.5,-558.5,-198.5,-559
-218,-1047.5,-199,-1054.5
-218,-1047.5,-213.5,-1041
-218,-1047.5,-261,-1015.5
-15.5,2411.5,-101.5,2430
361,-237.5,-3.5,-63.5
0,0,799.5,137.5
0,0,15.5,204
0,0,-3.5,-63.5
-162,-1082.5,-199,-1054.5
-162,-1082.5,-154,-1080.5
-162,-1082.5,14,-1440.5
198.5,173.5,15.5,204
-80.5,1039.5,-10.5,1109.5
-241.5,-1891.5,-261,-1015.5
-241.5,-1891.5,-344,-2398.5
-241.5,-1891.5,-801,-2069
40.5,556.5,157,529.5
40.5,556.5,26.5,482
40.5,556.5,76.5,682.5
-825.5,1907,-315.5,2110
-101.5,2430,-172.5,2489.5
-101.5,2430,-104.5,2421.5
-75,424,17.5,442.5
-315.5,2110,-213.5,1856
-315.5,2110,-172.5,2489.5
-167,-477,-9.5,-501
-167,-477,-156,-419.5
15.5,204,17.5,442.5
17.5,442.5,26.5,482
-152,563,26.5,482
72,1066,76.5,682.5
72,1066,-10.5,1109.5
-172.5,2489.5,202,2919.5
-199,-1054.5,-169,-1006.5
428,594,76.5,682.5
-156,-419.5,-23,-134.5
-156,-419.5,-165.5,-419.5
-109.5,-2540,-344,-2398.5
174,2289,-213.5,1856
-10.5,1109.5,-691,1775
-200,-29.5,-23,-134.5
-3.5,-63.5,-23,-134.5
