3009.,1446.5,3007.5,1467.5
3007.5,1467.5,3008.5,1486.5
3007.5,1467.5,2941.5,1278.5
2412.5,3751.5,2300.,3151.5
2296.,3020.,2301.,3117.5
2296.,3020.,2281.,2972.
2869.,3406.5,3002.5,3238.
2869.,3406.5,2948.5,2938.
2869.,3406.5,2833.5,3494.
3115.5,1477.5,3147.5,1446.
3115.5,1477.5,3083.,1492.5
2948.5,2938.,3002.5,3238.
2948.5,2938.,3083.,1492.5
1913.,3487.,2300.,3151.5
2833.5,3494.,2784.5,3533.
2833.5,3494.,2803.5,3860.5
2281.,2972.,2299.5,2683.5
3002.5,3238.,2990.5,4247.5
2237.5,3143.5,2301.,3117.5
2301.,3117.5,2300.,3151.5
3183.,1429.5,3147.5,1446.
3183.,1429.5,347.5,404.5
3183.,1429.5,3198.5,1437.5
2139.,1435.,2767.,1835.
3083.,1492.5,3008.5,1486.5
2299.5,2683.5,2618.,2472.5
2299.5,2683.5,2767.,1835.
3008.5,1486.5,2767.,1835.
