232.,2124.5,233.,2124.5
592.5,573.5,622.5,557.
592.5,573.5,539.,577.
592.5,573.5,659.5,596.
335.,583.,365.,575.
335.,583.,337.5,573.
335.,583.,253.,819.5
380.,573.5,183.5,373.5
380.,573.5,365.,575.
380.,573.5,408.,574.5
671.5,1668.5,671.5,1668.
310.5,247.,183.5,373.5
678.5,1623.5,1592.,3067.
678.5,1623.5,678.5,1622.5
678.5,1623.5,581.,1769.
659.5,596.,668.,572.5
659.5,596.,2435.5,1227.
544.5,505.5,539.,577.
408.,574.5,491.5,583.5
408.,574.5,409.5,578.5
678.5,1622.5,830.,1638.
678.5,1622.5,409.5,578.5
2595.5,1249.,2435.5,1227.
365.,575.,337.5,573.
491.5,583.5,539.,577.
491.5,583.5,409.5,578.5
632.,494.,622.5,557.
622.5,557.,668.,572.5
337.5,573.,182.,375.
2104.,1622.5,2435.5,1227.
182.,375.,183.5,373.5
182.,375.,56.5,243.5
711.,574.,668.,572.5
