4710,-1719,4171.5,-1512
4710,-1719,4802,-1680.5
4710,-1719,4787,-1816
-2860.5,-488,-2861.5,-491.5
-260.5,302.5,-266,247
559.5,218.5,629.5,92
-956,3646,-783.5,2841.5
1308,139,1306,267.5
1308,139,1385,118
1308,139,1232,131.5
-233,183.5,-1455,1258
-233,183.5,-33.5,30
-233,183.5,-266,247
-1280,3168,-1357.5,2810
-783.5,2841.5,-564.5,3427.5
-783.5,2841.5,-802.5,2750.5
1450,-2425,1502.5,-1962
4180,-1072.5,4146.5,-1037.5
4180,-1072.5,4365,-1096.5
4180,-1072.5,4177,-1076
3525,-1575,3721.5,-1969
3525,-1575,2821.5,-1139
3525,-1575,3723.5,-1594
-2759.5,-556.5,-2671.5,-424
-2759.5,-556.5,-2821,-536
-2759.5,-556.5,-2620.5,-586
-806.5,2717,-779,1732
-806.5,2717,-802.5,2750.5
-806.5,2717,-1232,2701
-3203.5,1676.5,-3269.5,1655
-3203.5,1676.5,-3340,1513
-3203.5,1676.5,-3188,1691.5
1815.5,-128,1875.5,-120.5
-1923.5,1906.5,-1552.5,1571.5
2234,-1411.5,1997.5,-1548
2234,-1411.5,2264,-2858
2234,-1411.5,2313.5,-1120
-1455,1258,-1618.5,1334
-1455,1258,-1552.5,1571.5
-1140.5,2516.5,-779,1732
-1140.5,2516.5,-1357.5,2810
-1140.5,2516.5,-1582.5,2416.5
-306.5,-2505.5,-271,-2152.5
-306.5,-2505.5,-288.5,-2528
-306.5,-2505.5,-345.5,-2545
1688.5,270.5,1566.5,105.5
1988.5,-1520,1997.5,-1548
-1064.5,-334.5,-1049,-367.5
4425.5,-1081,4365,-1096.5
-1439,3272,-1432.5,3293
-1439,3272,-1563,3000
-1439,3272,-1461,3295.5
-1668,2101,-2360.5,2361.5
-1668,2101,-1637.5,2321
-1668,2101,-1552.5,1571.5
-2871.5,2765,-2670.5,2566.5
1647,-179,1727.5,-208
1647,-179,1649,-51
1647,-179,1685,-262
-3226.5,2615,-2967,2296.5
-3211.5,1701.5,-3483.5,1856.5
-3211.5,1701.5,-3508,1739
-3211.5,1701.5,-3188,1691.5
-2562,2324,-2360.5,2361.5
-2562,2324,-2683,2291.5
-2562,2324,-2165.5,2164
-3523.5,1760,-3508,1739
-3523.5,1760,-3531.5,1902.5
-3523.5,1760,-3591,1797.5
4470,-1135.5,4405,-1129.5
-3385,-678,-2366,-815
4727,-1417.5,4171.5,-1512
-2546.5,-579.5,-2551,-605
4134,-1874.5,4048.5,-1688
0,0,-9,-34
0,0,-33.5,30
0,0,443,88
-2361,-996.5,-2929,-1067
-2361,-996.5,-2360,-997.5
-2361,-996.5,-2232.5,-896.5
-2762.5,-663.5,-2855,-665
-2762.5,-663.5,-2399,-767.5
-2762.5,-663.5,-2515.5,-615
-63,-265.5,-107,-171
-1432.5,3293,-1404.5,3288.5
-1432.5,3293,-1435,3298.5
-503,3644,-490,3515.5
-662,3617.5,-564.5,3427.5
3739.5,-2596.5,3753,-2587
-3430,1587,-3664.5,1572
-3430,1587,-3517,1716
-3430,1587,-3340,1513
1089.5,132,1086,103.5
-3508,1739,-3517,1716
-3340,1513,-3340,1508.5
1875.5,-120.5,1942,-202
1875.5,-120.5,1843,-50.5
-499.5,-2495.5,-271,-2152.5
909.5,77.5,505.5,527
909.5,77.5,1086,103.5
909.5,77.5,629.5,92
4272.5,-2002.5,3785.5,-1986.5
4272.5,-2002.5,4279,-2000.5
4272.5,-2002.5,4285,-2026.5
-1049,-367.5,-228.5,-282.5
-1049,-367.5,-1165,-406
-266,247,-429.5,478
-2630.5,2725.5,-2360.5,2361.5
-2630.5,2725.5,-2670.5,2566.5
-2630.5,2725.5,-2748,2869.5
-2683,2291.5,-2670.5,2566.5
-2683,2291.5,-2692.5,2280
-3000.5,-633.5,-2855,-665
-3000.5,-633.5,-3343,-618.5
-3000.5,-633.5,-3301,-468
1798,37.5,1843,-50.5
1798,37.5,1795,82.5
1798,37.5,1723,-27.5
1843,-50.5,1851.5,-42.5
-1637.5,2321,-795.5,1475.5
-1637.5,2321,-1582.5,2416.5
-3068,-455,-2858,-542
-2855,-665,-3018,-727.5
-438.5,454.5,-429.5,478
-1442.5,-516,-1438.5,-530
4362.5,-1906.5,4317.5,-2001
-3662.5,1754.5,-3763.5,1767
-3662.5,1754.5,-3517,1716
-3662.5,1754.5,-3736,1811.5
-3094,2304,-2967,2296.5
-3094,2304,-3290.5,2421.5
-3094,2304,-3204.5,2256
1607.5,-37.5,1649,-51
-1603,2794.5,-2030.5,3191
-1603,2794.5,-1582.5,2416.5
-1603,2794.5,-1563,2995.5
-1437.5,3475.5,-1412.5,3354
-2838,3023.5,-2748,2869.5
-2510.5,-615,-2399,-767.5
-2510.5,-615,-1671,-622
-2510.5,-615,-2515.5,-615
2124,-516.5,2119.5,-518
3895,-765.5,3573.5,-1239.5
-1671,-622,-1918.5,-902
-1671,-622,-1438.5,-530
-3204.5,2256,-2655,1851.5
-3204.5,2256,-3284.5,2216
4398,-2072,4317.5,-2001
-9,-34,-107,-171
-9,-34,-76.5,-9.5
3999,-2084,4050.5,-2443.5
3999,-2084,3785.5,-1986.5
3999,-2084,4172,-2071.5
-2929,-1067,-3044,-1194
-2929,-1067,-2901,-1032
-2399,-767.5,-2366,-815
-107,-171,-171.5,-243.5
443,88,451.5,216
443,88,629.5,92
-2943,-590,-2919.5,-595
-1759.5,1367,-1778.5,1383
-1759.5,1367,-1766,1357
-1759.5,1367,-1618.5,1334
-3340,1508.5,-2953.5,1512
-3340,1508.5,-3371,1463.5
-2901,-1032,-3079,-1021
-2901,-1032,-2314.5,-855
2119.5,-518,1989,-250.5
2119.5,-518,2384.5,-852.5
-2232.5,-896.5,-2314.5,-855
-2232.5,-896.5,-1952.5,-902
-1563,2995.5,-1563,3000
-1563,2995.5,-1357.5,2810
-769,1612.5,-779,1732
-769,1612.5,91.5,2191
-769,1612.5,-795.5,1475.5
1649,-51,1687,72.5
1951.5,-194,1942,-202
-630.5,845.5,-651,841.5
4172,-2071.5,4352.5,-2074
4172,-2071.5,4357,-2209.5
-2489.5,1848,-2699,2123
-2489.5,1848,-2655,1851.5
-2489.5,1848,-1778.5,1383
-1317,3491.5,-1412.5,3354
-1918.5,-902,-228.5,-282.5
-1918.5,-902,-1952.5,-902
-2620.5,-586,-2551,-605
-2620.5,-586,-2590.5,-556
-2748,2869.5,-2831.5,2860.5
3448.5,-1258,4171.5,-1512
3448.5,-1258,2821.5,-1139
3448.5,-1258,3573.5,-1239.5
953,857.5,1009,636
1942,-202,1989,-250.5
3953.5,-1937.5,3723.5,-1594
1795,82.5,1797.5,86
1795,82.5,1687,72.5
-1740.5,3370.5,-1563,3000
-2515.5,-615,-2551,-605
-1165,-406,-1151,-445.5
-1165,-406,-1438.5,-530
-2821.5,-503,-2814.5,-305
-2821.5,-503,-2861.5,-491.5
-2821.5,-503,-2821,-536
1232,131.5,1009,636
1232,131.5,1086,103.5
-228.5,-282.5,-171.5,-243.5
3591,-1937,3721.5,-1969
3591,-1937,2516.5,-1133
3591,-1937,3753,-2587
4198,-1691,4048.5,-1688
1838,-546.5,1852,-541
1687,72.5,1566.5,105.5
-2945,-387,-2861.5,-491.5
-802.5,2750.5,-1367,3271.5
-3220,777.5,-2953.5,1512
1989,-250.5,2004,-243
2597.5,-1131.5,3170.5,-1621.5
2597.5,-1131.5,2516.5,-1133
2597.5,-1131.5,2803.5,-1120.5
-1540.5,3453,-1482.5,3328
4441,-1262.5,3590,-1242
-2828,2223.5,-2699,2123
-2828,2223.5,-2967,2296.5
-2828,2223.5,-2692.5,2280
2373.5,-861,2384.5,-852.5
-2955.5,1750.5,-2954.5,1753.5
-2955.5,1750.5,-2824,1548.5
-2955.5,1750.5,-3188,1691.5
-1367,3271.5,-1337,3330
-1367,3271.5,-1404.5,3288.5
-2314.5,-855,-2366,-815
-2655,1851.5,-2954.5,1753.5
-1618.5,1334,-1664,1404.5
-2954.5,1753.5,-3201.5,2173.5
-2638.5,-1760.5,-2360,-997.5
-1412.5,3354,-1412.5,3353
-1653.5,1423.5,-1664,1404.5
1566.5,105.5,1385,118
3723.5,-1594,4048.5,-1688
-2946,-627.5,-2919.5,-595
-23,52,-33.5,30
3785.5,-1986.5,3721.5,-1969
-1461,3295.5,-1482.5,3328
-1461,3295.5,-1435,3298.5
-2699.5,1555.5,-2704,1538.5
-2699.5,1555.5,-2824,1548.5
-2699.5,1555.5,-1778.5,1383
4460.5,-1187,4405,-1129.5
-2699,2123,-2692.5,2280
1997.5,-1548,1502.5,-1962
-1412.5,3353,-1404.5,3288.5
-1412.5,3353,-1435,3298.5
988,-2328.5,1502.5,-1962
4177,-1076,3590,-1242
4177,-1076,4194,-1107
-3213.5,2201,-3201.5,2173.5
3573.5,-1239.5,3590,-1242
4279,-2000.5,4317.5,-2001
4279,-2000.5,4300,-1953.5
1705,-254,1685,-262
1070.5,897,1009,636
-1664,1404.5,-2165.5,2164
1383,29.5,1385,118
-2360,-997.5,-2079.5,-1004.5
-2821,-536,-2858,-542
4405,-1129.5,4365,-1096.5
-2858,-542,-2919.5,-595
-271,-2152.5,-171.5,-243.5
-355.5,3606.5,-490,3515.5
-1952.5,-902,-2079.5,-1004.5
1852,-541,2313.5,-1120
1852,-541,1685,-262
3753,-2587,3773.5,-2594.5
-1482.5,3328,-1483,3386.5
-2824,1548.5,-2953.5,1512
-2163.5,2177.5,-2165.5,2164
-429.5,478,-651,841.5
-2185.5,-1861,-2167,-1625
-3201.5,2173.5,-3238.5,2178
2384.5,-852.5,2803.5,-1120.5
-490,3515.5,-564.5,3427.5
2821.5,-1139,2803.5,-1120.5
-2266.5,-1635,-2167,-1625
-2167,-1625,-2079.5,-1004.5
2516.5,-1133,2313.5,-1120
-651,841.5,-795.5,1475.5
