2036,-1121.5,3063,-1802.5
2036,-1121.5,1860.5,-846.5
2036,-1121.5,1942,-1421.5
-4819.5,645,-4916.5,692
-4680,484,-4900.5,-5
-4680,484,-4317,577
-4680,484,-4680,482.5
-153.5,-146.5,26.5,-182
5979.5,-981,5622.5,-1398
5979.5,-981,6037.5,-906.5
5979.5,-981,6024.5,-1049.5
-2114,109,-1715.5,-11
-2331,5172.5,-2305.5,5116
3725,2271.5,3601.5,2505
3725,2271.5,3704,2271.5
3725,2271.5,4183.5,1141
-4896,-942.5,-4737,-953.5
7556,-4297.5,7376.5,-4040
7556,-4297.5,7597.5,-4368
7556,-4297.5,7577.5,-4294
6062.5,-2357.5,6022,-2317
6062.5,-2357.5,5960,-2518
6062.5,-2357.5,6087,-2379.5
5076,-2548.5,5193.5,-2719
5076,-2548.5,4727.5,-2385.5
5076,-2548.5,5286.5,-2355
-247.5,165.5,-267.5,460.5
-247.5,165.5,-257,164.5
-247.5,165.5,-238,103.5
5565.5,-2293,5556.5,-2400.5
5565.5,-2293,5425,-2305
5565.5,-2293,5599,-2293.5
5193.5,-2719,5416,-2899
5193.5,-2719,5378,-2679.5
4583,2167,4592,2174
4583,2167,4649.5,2036
4583,2167,4389.5,2451.5
-5662,-488,-5702.5,-493.5
-5662,-488,-5635.5,-492
-5662,-488,-5572,-650
-5662,-488,-5804.5,-260
3399.5,-332.5,3620,-500.5
3399.5,-332.5,2952,-503.5
3399.5,-332.5,3549,-267
-1670,-95,-1153,5.5
-1670,-95,-2169.5,-21.5
-1670,-95,-1715.5,-11
5597,-2110.5,5593,-1983
1180.5,-297.5,994,-260
16.5,-152.5,26.5,-182
-3399.5,215.5,-3307,141.5
5149.5,-740,5174.5,-741.5
-1150.5,-2987.5,-1126.5,-3030.5
-5233.5,1888,-5153.5,1907
798.5,2972.5,782,2824.5
3063,-1802.5,3433,-2079
3063,-1802.5,2932.5,-2157
4374,-1139,4372,-1139
7605.5,-2574.5,6823,-2690.5
6986.5,-3147.5,6867.5,-2859.5
6986.5,-3147.5,6790.5,-3887.5
6986.5,-3147.5,7181,-3519.5
-1905.5,140,-1717,83.5
7286,-3809,7109,-3985.5
7286,-3809,7376.5,-4040
7286,-3809,7241.5,-3672
-5627,-492.5,-5635.5,-492
-5627,-492.5,-5306,-324
-5627,-492.5,-5622,-543.5
-2580.5,4052,-2929,4066
-3923.5,713,-4161,613
-3923.5,713,-4113,876.5
-3923.5,713,-3591,467
-5061,5321.5,-4844,5414.5
-5061,5321.5,-5048,4979
-5061,5321.5,-5061,5399.5
5684,-3316,5445,-2949.5
5684,-3316,5808.5,-3282.5
5684,-3316,5820,-3492
-3995.5,1013,-4106.5,999.5
-2532,146.5,-2169.5,-21.5
-2532,146.5,-3926,-1027
-2532,146.5,-2698.5,275.5
-4561.5,1436,-4599,1445.5
-651.5,2986,311,1802.5
-4950,1750.5,-4905.5,1707.5
-4904.5,-91.5,-4900.5,-5
