-2924,-253.5,-2824,-137.5
-2924,-253.5,-3381.5,-509.5
-2924,-253.5,-3015.5,-538.5
-3050.5,-822.5,-2991,-805.5
-3095,-1000,-2949.5,-935
-3015.5,-538.5,-2991,-805.5
-3015.5,-538.5,-3226,-680.5
1824.5,-1025.5,1828.5,-962
-1641,-125.5,-1338,106
3286,947,3416.5,727
-1381,-1274.5,-1287,-1216.5
-1381,-1274.5,-1518,-1235
-1381,-1274.5,-1763.5,-1394
-962,-875,-806.5,-902
306,-11.5,291.5,-84.5
-2991,-805.5,-2949.5,-935
-1003.5,-1080.5,-1204,-916.5
-1003.5,-1080.5,-1012.5,-1091
-1003.5,-1080.5,-901,-1032.5
-577,-1151.5,-466.5,-789.5
-1011,-1280.5,-1012.5,-1091
-1287,-1216.5,-1012.5,-1091
-1287,-1216.5,-1434,-1078
1754,-68,1781,47
1754,-68,1387,-37.5
1754,-68,2702.5,57
291.5,-84.5,426,-95.5
291.5,-84.5,163,-61.5
-2483.5,160,-2215.5,280
-2483.5,160,-2898.5,498
-2483.5,160,-2554,127.5
-1609.5,494.5,-1251.5,1424.5
-1609.5,494.5,-1584,392.5
-1609.5,494.5,-1581,503
529.5,-303.5,426,-95.5
-923.5,-626,-806.5,-902
2010.5,1107.5,2190.5,1222.5
2010.5,1107.5,1986,1163.5
2010.5,1107.5,1387,-37.5
3784.5,1035,3668.5,1066
900.5,-701.5,1150,-875.5
900.5,-701.5,827,-1117
900.5,-701.5,163,-61.5
2766.5,641,2702.5,57
1099.5,-71.5,1115,6
-182.5,-10.5,-1285.5,194
-182.5,-10.5,-175.5,-86
-182.5,-10.5,0,0
1777,97,1789,98
-2044,-437.5,-2215.5,280
772,-169,739.5,-48
-806.5,-902,-769,-966.5
-2597,-382,-2824,-137.5
1828.5,-962,1150,-875.5
1828.5,-962,2002.5,-999
-95.5,-297,-175.5,-86
-1818.5,394,-2215.5,280
-1818.5,394,-1584,392.5
-1818.5,394,-2282.5,1361
1023.5,10.5,1115,6
1023.5,10.5,1024,-61.5
1023.5,10.5,878.5,11.5
2687,847,2909.5,135
1150,-875.5,1179.5,-1412
135,-50.5,-466.5,-789.5
135,-50.5,0,0
135,-50.5,163,-61.5
739.5,-48,878.5,11.5
739.5,-48,556,-85
0,0,5.5,71
-2912,-1234,-2949.5,-935
878.5,11.5,876.5,41
-769,-966.5,-466.5,-789.5
-769,-966.5,-901,-1032.5
82.5,79,5.5,71
-2520,-174.5,-2554,127.5
-2520,-174.5,-2429.5,-424.5
-2520,-174.5,-2529.5,-175
-1265.5,115.5,-1321.5,124
3711,1343.5,3668.5,1066
2988.5,861,3267.5,572.5
3668.5,1066,3416.5,727
3267.5,572.5,2909.5,135
3267.5,572.5,3416.5,727
426,-95.5,556,-85
5.5,71,232.5,658
1387,-37.5,1115,6
-890.5,-1050.5,-901,-1032.5
-2824,-137.5,-2554,127.5
-175.5,-86,-192.5,-86.5
556.5,-76.5,556,-85
2055,753.5,1789,98
-1252.5,-15,-1338,106
-1285.5,194,-1321.5,124
-1285.5,194,-1584,392.5
-1338,106,-1321.5,124
2702.5,57,2909.5,135
1789,98,1781,47
1742,66.5,1781,47
