153.5,-131,128,-36
916,2079,918.5,2130
916,2079,943.5,1933.5
916,2079,867.5,2093
-3467,-1252,-3084.5,-1315
-2447,-992.5,-2450,-908.5
-2447,-992.5,-1514,-784.5
-2447,-992.5,-2636.5,-1056.5
-1826.5,-1095.5,-2050,-932
-1826.5,-1095.5,-1422,-976.5
-1826.5,-1095.5,-2494,-1418
-3600,-881,-3213.5,-895
-3200.5,1322,-2874,1193
-1912.5,865,-1067,194.5
-1912.5,865,-1936,983
-1912.5,865,-2620,1135.5
-1776,0,-1888,18.5
-3105,-1378.5,-3258,-1732.5
-3105,-1378.5,-3090,-1358
-3105,-1378.5,-3287,-1568
-2450,-908.5,-2359.5,-360.5
-2450,-908.5,-2243,-870.5
1458.5,1662.5,1070.5,1541
-695,2306.5,-714.5,2191.5
-17,-89.5,-4,-86
-17,-89.5,-40.5,-54
-17,-89.5,275.5,-659
-3170.5,-885,-3213.5,-895
-3170.5,-885,-3188.5,-715.5
-3170.5,-885,-2965,-1057.5
-7,-32,-4,-86
-7,-32,-40.5,-54
-7,-32,0,0
-2289.5,-263,-2348.5,-313.5
-2289.5,-263,-2240.5,-314.5
-2289.5,-263,-2026,-78.5
-2729,-1379,-2940,-1571
-2729,-1379,-3090,-1358
-2729,-1379,-2494,-1418
-1936,983,-1954.5,999.5
-1936,983,-1512.5,969.5
-2936.5,-997,-2936,-1018.5
-2936.5,-997,-3090,-759
-2936.5,-997,-2750.5,-667
-1681,158.5,-1354,184
-1681,158.5,-1888,18.5
-1681,158.5,-1831,249
-269.5,420.5,-133.5,38
1070.5,1541,1019.5,1718.5
1070.5,1541,1348.5,170
-2750.5,-667,-2454,-351.5
-2750.5,-667,-3188.5,-715.5
-2865,1720.5,-2828.5,1726
-2865,1720.5,-2815.5,1557.5
-2865,1720.5,-2958,1745.5
-580,293,-613.5,257.5
-588.5,-625.5,-632.5,-612
-588.5,-625.5,-1179,-874.5
-588.5,-625.5,-493,-541
-3200.5,923.5,-2874,1193
-2828.5,1726,-2366,1356
-2828.5,1726,-2903,1874
-3188.5,-715.5,-3197,-714.5
-383,-375.5,-470,-516
-383,-375.5,-167.5,-114.5
-383,-375.5,-415,-355.5
-2932,1452,-2833,1277.5
-2932,1452,-2962.5,1464
-2932,1452,-2980,1523.5
-2716,1485.5,-2485,1169
-2716,1485.5,-2815.5,1557.5
-2716,1485.5,-2366,1356
943.5,1933.5,822,2023
943.5,1933.5,971.5,1855.5
-1315.5,-885.5,-1416,-809.5
-1315.5,-885.5,-1422,-976.5
-1315.5,-885.5,-1179,-874.5
-1354,184,-1067,194.5
-1354,184,-1302,-551.5
-2359.5,-360.5,-2348.5,-313.5
-2359.5,-360.5,-2449.5,-467.5
-740,218.5,-766.5,298
-740,218.5,-1067,194.5
-740,218.5,-614,227.5
-2870,1580.5,-2923,1586.5
-2870,1580.5,-3188.5,1746
-2870,1580.5,-2815.5,1557.5
-3253,-603,-3197,-714.5
917.5,-119,868.5,81.5
-2240.5,-314.5,-2274.5,-719.5
-2240.5,-314.5,-1514,-784.5
-2366,1356,-1512.5,969.5
1428,155.5,1426.5,186
1428,155.5,2211,-477.5
1428,155.5,1348.5,170
971.5,1855.5,1019.5,1718.5
971.5,1855.5,780.5,1946
2247.5,-477.5,2473,-1049
2247.5,-477.5,2211,-477.5
2247.5,-477.5,2811,-554
1253.5,137,1198,193
1253.5,137,868.5,81.5
1253.5,137,1348.5,170
-3090,-1358,-3084.5,-1315
-1954.5,999.5,-2485,1169
-1954.5,999.5,-2077,1196.5
1426.5,186,1574,277
1426.5,186,1423.5,186
-2957.5,-1057.5,-2936,-1018.5
-2957.5,-1057.5,-2909,-1068.5
-2957.5,-1057.5,-2965,-1057.5
-2026,-78.5,-2001.5,-93
-2026,-78.5,-1988,-55
-2620,1135.5,-2807,1206.5
-2620,1135.5,-2616,1094.5
-470,-516,-449,-550.5
-470,-516,-493,-541
